TIME,TIMECORR,CADENCENO,SAP_FLUX,SAP_FLUX_ERR,SAP_BKG,SAP_BKG_ERR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,SAP_QUALITY,PSF_CENTR1,PSF_CENTR1_ERR,PSF_CENTR2,PSF_CENTR2_ERR,MOM_CENTR1,MOM_CENTR1_ERR,MOM_CENTR2,MOM_CENTR2_ERR,POS_CORR1,POS_CORR2,flux_n,flux_n-slope-median,flux_n-slope,flux_n-median,flux_mag
3007.052878,0.0034,141831,61167.496,7.414,3254.519,1.25,67477.555,7.849,0,224.50671,7.879999999999999e-05,213.82165,5.83e-05,224.56299,0.00017,213.95843,0.000144,-0.446,-0.134,0.2729088293359596,-0.0841039437925053,6.8727433930853845,-0.03668112268308432,4.829159337858319
3007.073309,0.0034,141832,60386.57,7.379,3252.465,1.25,66923.797,7.81,0,224.48183,7.63e-05,213.81829,5.8e-05,224.53484,0.000172,213.95241,0.000145,-0.48,-0.14,0.2559808369640999,-0.10098709451194221,6.855860242365948,-0.053609115054944034,4.825580573195429
3007.093741,0.0034,141833,59874.973,7.356,3258.417,1.26,66750.984,7.7810000000000015,0,224.45366,7.269999999999999e-05,213.81293,5.81e-05,224.49735,0.000174,213.94364,0.000145,-0.519,-0.146,0.25069806516530235,-0.10622502246353172,6.850622314414358,-0.05889188685374158,4.8244576721732475
3007.114173,0.0034,141834,59375.848,7.332000000000002,3258.284,1.25,66575.273,7.755,0,224.4297,7.049999999999999e-05,213.80927000000003,5.870000000000001e-05,224.46311,0.000176,213.93826,0.000145,-0.564,-0.149,0.24532670354587305,-0.11155154023575431,6.8452957966421355,-0.06426324847317089,4.823312955991947
3007.134605,0.00339,141835,,,,,66779.621,,1081376,,,,,,,,,,,0.251573478102999,-0.10525992183141941,6.85158741504647,-0.05801647391604492,4.824643949937344
3007.155037,0.00339,141836,62008.535,7.4529999999999985,3252.8740000000007,1.25,66983.969,7.894,0,224.66395,9.17e-05,213.83811,6.28e-05,224.73908,0.000166,213.99591,0.000144,-0.241,-0.106,0.25782025266012454,-0.09896830342708629,6.8578790334508035,-0.0517696993589194,4.82597087720997
3007.175468,0.00339,141837,61936.332,7.452000000000001,3255.284,1.26,66984.281,7.893,0,224.65059,9.05e-05,213.8368,6.25e-05,224.72401,0.000166,213.99275,0.000144,-0.26,-0.109,0.2578297902805655,-0.09891392415422295,6.857933412723667,-0.051760161738478416,4.825972900075512
3007.1959,0.00339,141838,62025.746,7.454,3254.315,1.25,67228.859,7.896,0,224.62918,8.740000000000001e-05,213.83656,6.2e-05,224.70028,0.000166,213.99059,0.000143,-0.29,-0.108,0.26530636762721294,-0.0913925029603675,6.865454833917522,-0.044283584391831,4.827555740524263
3007.216332,0.00339,141839,62254.56200000001,7.466,3252.289,1.25,67654.469,7.907999999999999,0,224.6027,8.46e-05,213.83251,6.08e-05,224.67365,0.000166,213.98187,0.000143,-0.32,-0.114,0.27831696581881893,-0.07833706092155435,6.8785102759563355,-0.031272986200225006,4.830296489742736
3007.236764,0.00339,141840,61908.148,7.45,3253.53,1.25,67501.586,7.891,0,224.57941,8.3e-05,213.83021,6.03e-05,224.6462,0.000167,213.97664,0.000143,-0.35,-0.118,0.2736434400949701,-0.08296574279819424,6.873881594079696,-0.03594651192407383,4.829313977022972
3007.257195,0.00338,141841,61456.727,7.427,3252.738,1.25,67199.375,7.866,0,224.56082,8.25e-05,213.82872000000003,6e-05,224.62425,0.000169,213.97297000000003,0.000144,-0.374,-0.122,0.2644050624955634,-0.0921592787451786,6.864688058132711,-0.04518488952348054,4.827365233837852
3007.277627,0.00338,141842,61125.973,7.414,3255.1740000000004,1.25,66990.906,7.851,0,224.5484,8.2e-05,213.82718,5.98e-05,224.60847,0.00017,213.96953,0.000144,-0.395,-0.124,0.25803231186844977,-0.09848718552508462,6.858360151352805,-0.051557640150594164,4.826015851326552
3007.298059,0.00338,141843,61053.578,7.41,3261.56,1.25,67128.266,7.846,0,224.52706,8.08e-05,213.82431,5.91e-05,224.58506,0.00017,213.96368,0.000144,-0.421,-0.13,0.26223131040607583,-0.09424334314025096,6.862603993737639,-0.0473586416129681,4.8269054290058975
3007.318491,0.00338,141844,61088.129,7.411,3258.907,1.25,67360.5,7.846,0,224.50714,7.890000000000001e-05,213.82272000000003,5.84e-05,224.56431,0.00017,213.95931,0.000144,-0.444,-0.134,0.2693305403593884,-0.08709926933973122,6.869748067538159,-0.04025941165965552,4.828405302161947
3007.338923,0.00338,141845,60942.91,7.405,3261.341,1.25,67422.891,7.837999999999999,0,224.48784,7.670000000000001e-05,213.82123,5.78e-05,224.542,0.000171,213.95634,0.000144,-0.471,-0.136,0.2712377893238691,-0.08514717652804382,6.871700160349846,-0.03835216269517483,4.8288073705288985
3007.359354,0.00337,141846,60685.977,7.393,3262.026,1.25,67344.742,7.824,0,224.47206,7.47e-05,213.81804,5.76e-05,224.52239,0.000172,213.95092,0.000144,-0.494,-0.141,0.26884882938853893,-0.08749129481094986,6.86935604206694,-0.040741122630505,4.8283036934587455
3007.379786,0.00337,141847,62325.398,7.471,3260.555,1.25,67304.9295,,1048576,224.8737,9.9e-05,213.84421,6.43e-05,224.87871,0.00016299999999999998,214.02137,0.000143,-0.0549,-0.0817,0.267631789280216,-0.08866349107206517,6.868183845805825,-0.04195816273882791,4.828046873677872
3007.400218,0.00337,141848,62998.633,7.501,3258.736,1.25,67265.117,7.9460000000000015,0,224.9816,9.2e-05,213.8499,6.43e-05,224.93873,0.000161,214.03366,0.00014199999999999998,-0.00377,-0.0722,0.2664147491718931,-0.08983568733318048,6.867011649544709,-0.04317520284715082,4.82778990193691
